,source_id,DESIGNATION,ra_2,dec_2,ph_qual
0,2891595017027132288,J061957.10-344838.5,94.9879262,-34.8107194,AABU
1,5085509597958589184,J033450.35-243135.3,53.7098217,-24.5264832,AABU
2,695300508815830144,J092256.62+275340.9,140.7359281,27.8947182,AAUU
3,6697682025562620416,J201143.37-352136.7,302.93071,-35.3602208,AAUU
4,3462639162734302464,J120433.80-350348.8,181.1408489,-35.0635607,AAUU
5,6502798709139275136,J231647.24-500320.2,349.1968656,-50.0556181,AAUU
6,6836154657401562112,J212515.84-153016.7,321.3160272,-15.5046488,AAAU
7,2886776063720502144,J061138.61-331821.6,92.9108762,-33.3060102,AAAC
8,6705842630930258816,J184541.08-453128.2,281.4211754,-45.5245191,AAUU
9,387557473467906432,J004259.59+433221.9,10.7483126,43.5394213,AABB
10,3889059420143391744,J103339.38+154833.4,158.4141141,15.8092862,AACU
11,2144442781092733952,J185136.04+505904.2,282.9001982,50.9845258,AAAB
12,1406113335695903872,J164219.23+451050.8,250.580136,45.1807974,AAUU
13,1815157499757887488,J203011.40+181915.4,307.5475052,18.3209679,AAUU
14,1704765570250298496,J170904.42+762550.2,257.2684271,76.4306345,AABU
15,1505840620883412480,J140311.42+454251.5,210.7976122,45.714329,AAUU
16,4710409831751731712,J011343.33-614529.3,18.4305549,-61.7581541,AABC
17,3772493492333504768,J101520.22-072347.1,153.8342719,-7.3964334,AABU
18,1245496161713883904,J140619.06+181940.9,211.5794578,18.3280554,AACU
19,3017430205815280384,J055926.48-092154.2,89.860361,-9.3650726,AAAC
20,5505747683739215744,J072316.19-502430.9,110.8174792,-50.4086088,AACU
21,302802517288053632,J014454.39+303052.0,26.2266524,30.5144591,AAUU
22,3221650540619783040,J052056.93+002412.7,80.237247,0.4035482,AAUU
23,136784267313394304,J025328.61+335037.7,43.3692257,33.8438169,AABC
24,4420716452299884288,J152334.74+012702.2,230.8947728,1.4506373,AABU
25,6830573291565067648,J213617.76-194907.7,324.0740052,-19.8188245,AAUU
26,5776078732145152000,J174501.63-800421.2,266.2568277,-80.0725582,AABU
27,907249585730646016,J080211.86+371003.2,120.5494267,37.1675775,AAAB
28,1800491354668025344,J214319.98+270155.9,325.8332583,27.032211,AABU
29,1359806681937262080,J165932.84+455511.5,254.8868729,45.919885,AAUU
30,4728168387649662592,J024825.77-564141.7,42.1073965,-56.6949426,AAUU
31,1813144053445574784,J204756.56+183233.2,311.9856758,18.5425781,AAAC
32,2917722299524962304,J055206.12-212050.0,88.0255344,-21.3472374,AACU
33,1673109634053612416,J141203.05+664628.9,213.0127437,66.7746994,AAAB
34,2144807750233429632,J184525.91+521248.4,281.3579676,52.2134514,AAUU
35,6578449850774068224,J213456.03-414218.6,323.7334905,-41.7051798,AAAB
36,2600201036682260608,J221107.78-140202.7,332.7824261,-14.0340924,AAUU
37,6686188693078089344,J200753.46-424805.3,301.9727661,-42.8014808,AABU
38,5260430146906778624,J062529.76-764814.4,96.37401,-76.8040164,AAUC
39,1060620806285761920,J111425.70+664627.6,168.6071082,66.7743386,AACU
40,709086185604311552,J082539.32+312530.5,126.4138551,31.4251423,AACC
41,6809873615078147456,J214459.70-281755.8,326.2487759,-28.2988415,AABU
42,1047766965601449216,J103935.14+600103.9,159.8964524,60.017752,AACC
43,2904644295903071360,J054442.22-282240.3,86.1759214,-28.3778887,AAUU
44,6359523376149191936,J183709.20-822451.0,279.2883422,-82.4141806,AAAB
45,6770961795500483200,J191514.30-232125.6,288.8096114,-23.3571188,AAAU
46,6405864801961715968,J221836.32-624538.9,334.6513591,-62.7608141,AAUU
47,4698345887092515840,J020601.68-653614.1,31.5070012,-65.603925,AACU
48,1679629669287024000,J125532.60+681026.1,193.8858547,68.1739194,AAUU
49,5953816126822741504,J175729.12-472330.4,269.3713484,-47.3917854,AABU
50,352632796577124992,J020757.26+450244.7,31.9886188,45.0457721,AABB
51,2889901940918740224,J060835.60-321227.0,92.1483724,-32.207509,AABC
52,1026519315711290368,J093938.01+592110.8,144.9083751,59.3530098,AABB
53,3004530769758177280,J061758.38-100221.4,94.4932896,-10.0393022,AAAA
54,3659193358872046720,J140312.71-020808.6,210.802963,-2.135728,AACU
55,3482342204945613056,J113047.93-292632.9,172.6997379,-29.4424844,AABU
56,5820205153127068928,J153709.44-691146.3,234.2893384,-69.1962024,AABU
57,970293349084772352,J060546.49+494211.0,91.4437101,49.7030589,AAUU
58,6877999557398569600,J200847.81-141729.4,302.1992421,-14.2915152,AABB
59,4583698881954562432,J175621.31+265447.3,269.0888312,26.9131588,AABU
60,2916199883936404864,J060016.13-234039.2,90.0672098,-23.6775762,AAAU
61,1060848027235648128,J113235.77+681005.5,173.1490489,68.1682138,AAUU
62,344897216879901312,J015914.88+401058.9,29.8120032,40.1830457,AAAB
63,6727198140355736448,J182712.33-375133.7,276.8014058,-37.8593783,AAAB
64,6603096365981981568,J230135.94-323144.7,345.3997632,-32.5290973,AAUU
65,1052596673505827840,J103015.06+634809.1,157.5627653,63.8025358,AACU
66,3064025721894349056,J080939.76-064338.4,122.4156714,-6.7273393,AAUU
67,1123319219909722240,J082848.90+735210.7,127.2037712,73.8696484,AABC
68,2851212909874617728,J234939.49+233719.6,357.4145706,23.6221121,AAUU
69,6155176666224647936,J130056.52-352025.5,195.2355008,-35.34044,AABU
70,2256421065353454464,J183541.27+643230.3,278.9219741,64.5417702,AACU
71,1938237827799536512,J232403.43+450335.3,351.0143257,45.0598057,AABU
72,5456960634826855168,J105503.96-274705.8,163.7665145,-27.7849579,AAAU
73,2770417668730232192,J235713.15+135408.6,359.304812,13.9024045,AABC
74,4941459109269026560,J020213.87-473809.5,30.5577937,-47.635992,AACU
75,6612104218072332160,J221632.92-322927.9,334.1371922,-32.4911079,AAUU
76,2896314189652820224,J060952.72-304735.4,92.4696976,-30.7931899,AAAU
77,4814171087663234176,J045920.87-395656.3,74.8369801,-39.9489962,AABU
78,1413733088715309440,J165708.04+523030.9,254.2835007,52.5086016,AABU
79,3533807217505285248,J113509.55-244630.8,173.7897923,-24.7752413,AABU
80,5460701448263827968,J101754.95-320115.1,154.4789836,-32.0208802,AAAB
81,2140425852799966592,J190702.68+533414.3,286.76117,53.5706552,AAAB
82,5731520542391069312,J091627.52-144559.1,139.1146845,-14.766442,AAUU
83,2095551965773599360,J183027.87+355351.9,277.616154,35.8977706,AABU
84,1064255997885905792,J093535.92+640606.5,143.8996934,64.1018319,AAUU
85,6492528514620768896,J232341.37-582908.4,350.9223794,-58.4856919,AAUU
86,6415896917854030208,J192211.27-730514.6,290.5469763,-73.0874016,AABU
87,2942418533272205312,J060513.59-191308.4,91.3066611,-19.2190166,AAAA
88,2900241129792188672,J062351.96-250828.5,95.9665108,-25.1412672,AABU
89,4635203064613724288,J011306.16-775546.5,18.2756879,-77.9295854,AAUU
90,4819550894978779136,J052015.94-385651.5,80.0664254,-38.9476432,AACU
91,4833421264226185728,J034305.96-473502.7,55.774867,-47.5840844,AAUU
92,6376307386787122560,J204212.40-692803.0,310.5516876,-69.4675111,AAUU
93,619195165798222208,J093215.21+162026.3,143.063408,16.340651,AAUU
